Domaine	Title	Text	Tag	URL
france	NICE : SA TROTTINETTE ÉLECTRIQUE EXPLOSE ET MET LE FEU À SON APPARTEMENT	A Nice, cette semaine, une trottinette a failli être à l'origine d'un drame. L'engin électrique a pris feu, manquant de déclencher un incendie dans un appartement.	FAITS DIVERS	https://www.cnews.fr/france/2021-06-05/nice-sa-trottinette-electrique-explose-et-met-le-feu-son-appartement-1089431
videos	FAUT-IL PÉRENNISER LES SALLES DE SHOOT ?	Ce jeudi 3 juin au beau milieu de l'après-midi, un père de famille avait rangé sa trottinette électrique dans l'entrée de son appartement après être allé chercher son fils à l'école avec l'engin, comme le rapporte Nice Matin. 	SANTÉ PUBLIQUE	https://www.cnews.fr/videos/france/2021-06-05/faut-il-perenniser-les-salles-de-shoot-1089359
france	INVESTISSEMENT LOCATIF : VOICI LE CLASSEMENT DES 10 VILLES LES PLUS ATTRACTIVES	Tandis que l'homme s'affairait dans la cuisine et que son jeune fils jouait dans sa chambre, la trottinette a soudain commencé à se consumer. «Tout est devenu noir, toxique dans l'appartement», a expliqué le père de famille au quotidien local. Quelques secondes ont suffi pour que l'engin électrique explose et provoque un incendie. 	IMMOBILIER	https://www.cnews.fr/france/2021-06-05/investissement-locatif-voici-le-classement-des-10-villes-les-plus-attractives
france	EMMANUEL MACRON ANNONCE LE LANCEMENT D'ETATS GÉNÉRAUX DE LA JUSTICE	Le propriétaire de la trottinette est toutefois parvenu à sortir l'engin sur le balcon, se brûlant légèrement les jambes au passage. Il a également réussi à éteindre les flammes à l'aide de divers objets à portée de main. 	GOUVERNEMENT	https://www.cnews.fr/france/2021-06-05/emmanuel-macron-annonce-le-lancement-detats-generaux-de-la-justice-1089398
france	ALPES-MARITIMES : LES POLICIERS RÉCLAMENT DAVANTAGE DE PROTECTION DES COMMISSARIATS	Les pompiers appelés en renforts sont arrivés après l'incident et le Niçois s'en est finalement dorti avec de simples brûlures superficielles. 	MENACE TERRORISTE	https://www.cnews.fr/france/2021-06-05/alpes-maritimes-les-policiers-reclament-davantage-de-protection-des-commissariats
france	CORONAVIRUS EN FRANCE : LE BILAN DE CE VENDREDI 4 JUIN	Profitant d’une conjoncture très favorable en matière de crédit, les investisseurs se bousculent pour acheter des logements et les louer. Sur le long terme ce type d’opération peut s’avérer très rentable, mais ce n’est pas sans risque. Le choix de la ville est primordial.	ÉPIDÉMIE	https://www.cnews.fr/france/2021-06-04/coronavirus-en-france-le-bilan-de-ce-vendredi-4-juin-1089305
france	SELON NICOLAS DUPONT-AIGNAN, RENAUD MUSELIER ET THIERRY MARIANI SONT DES «FRÈRES SIAMOIS»	Dans une récente étude, les start-ups Masteos et Unkle ont établi un classement de celles qui offrent le meilleur compromis entre rentabilité et sécurité pour un placement locatif en passant au peigne fin chaque département.	ÉLECTIONS RÉGIONALES	https://www.cnews.fr/france/2021-06-04/selon-nicolas-dupont-aignan-renaud-muselier-et-thierry-mariani-sont-des-freres
france	CORONAVIRUS : LES TROD PERMETTENT-ILS D'ÉVITER UNE SECONDE DOSE DE VACCIN ?	Résultat, les meilleures affaires ne se trouvent pas du côté des grandes métropoles ou de la capitale. La Nouvelle Aquitaine apparaît comme la région incontournable en matière d’investissement locatif. Poitiers se hisse en tête du classement avec une rentabilité brute de 6,85% et surtout un taux de sinistre particulièrement faible, soit 0,45%.	PANDÉMIE	https://www.cnews.fr/france/2021-06-04/coronavirus-les-trod-permettent-ils-deviter-une-seconde-dose-de-vaccin-1089245
france	COVID-19 : LE PROFESSEUR DELFRAISSY DIT AVOIR REÇU DES «PRESSIONS POLITIQUES» POUR AUTORISER L’HYDROXYCHLOROQUINE	Trois autres villes de la région se distinguent ensuite : Bergerac, Cognac et Niort avec des rentabilités élevées (8,81%, 8,36% et 8,20%). Bordeaux, où le marché locatif est réputé très tendu, se hisse à la 6e place du classement avec un taux de rentabilité de 4,25% et un taux de sinistre de 0,96%.	CORONAVIRUS	https://www.cnews.fr/france/2021-06-04/covid-19-le-professeur-delfraissy-dit-avoir-recu-des-pressions-politiques-pour
france	14 JUILLET : COMMENT VA SE DÉROULER LE DÉFILÉ ?	En dehors de la région, on retrouve Angers à la 3e place. La ville moyenne connaît un marché extrêmement tendu depuis le début de la crise sanitaire d’après les professionnels du secteur.	FÊTE NATIONALE	https://www.cnews.fr/france/2021-06-04/14-juillet-comment-va-se-derouler-le-defile-1089209
france	PARIS : L'IMBROGLIO DE L'ÉLECTION LÉGISLATIVE PARTIELLE DANS LE 20E	Enfin en Ile-de-France ce sont Créteil et Nanterre (8e et 9e) qui présentent les caractéristiques les plus attractives pour un investissement locatif.	POLITIQUE	https://www.cnews.fr/france/2021-06-04/paris-limbroglio-de-lelection-legislative-partielle-dans-le-20e-1087574
france	À PARIS, LE DIFFICILE ACCOMPAGNEMENT DES MINEURS ISOLÉS	Saintes (Charente-Maritime) vient clore ce classement des dix villes les plus attractives.	IMMIGRATION	https://www.cnews.fr/france/2021-06-04/paris-le-difficile-accompagnement-des-mineurs-isoles-1089152
videos	EMMANUEL MACRON : «LA SOCIÉTÉ EST DE PLUS EN PLUS VIOLENTE»	Dans un communiqué, ce samedi 5 juin, Emmanuel Macron a annoncé le lancement d'Etats généraux de la justice.	SÉCURITÉ	https://www.cnews.fr/videos/france/2021-06-04/emmanuel-macron-la-societe-est-de-plus-en-plus-violente-1089176
